"dane_sede","localidad","estrato","lon","lat","x_9377","y_9377"
"111001035530","San Cristobal",3,-74.0899473401,4.5746037171,4879141.08027649,2063580.82296657
"111001013226","San Cristobal",3,-74.0840561103,4.5771055643,4879794.82496685,2063856.31975512
"111001012025","San Cristobal",1,-74.0794544597,4.5727937802,4880304.4213387,2063379.04533132
"111001107841","San Cristobal",3,-74.0876075603,4.5749419486,4879400.61460717,2063617.80851999
"111001035602","San Cristobal",NA,-74.0956289103,4.5520590984,4878507.21168869,2061090.30983981
"111001046621","San Cristobal",2,-74.0875102197,4.5280961292,4879403.61078321,2058440.7392658
"111001086789","San Cristobal",3,-74.0932091696,4.5762633569,4878779.62761664,2063764.78423798
"111001015873","San Cristobal",3,-74.0954024899,4.5739968178,4878536.01008934,2063514.67302746
"111001098817","San Cristobal",2,-74.0957671197,4.5414558628,4878490.10723897,2059918.53901262
"111001098825","San Cristobal",NA,-74.0883125096,4.5552366937,4879319.14429674,2061440.24679116
"111001102016","San Cristobal",3,-74.0908798102,4.5804846468,4879038.658494,2064230.8979045
"111001801047","San Cristobal",NA,-74.0868153001,4.5269116003,4879480.4851035,2058309.71856276
"311001000085","San Cristobal",3,-74.08759743,4.5792851007,4879402.46518808,2064097.78015164
"311001001642","San Cristobal",2,-74.0876823297,4.5433397048,4879387.05214937,2060125.37430198
"311001002461","San Cristobal",3,-74.0897026004,4.5762549396,4879168.49840487,2063763.26291218
"311001002681","San Cristobal",3,-74.0899471299,4.5728813979,4879140.81481935,2063390.48470553
"311001002843","San Cristobal",3,-74.0926009104,4.5745969278,4878846.80231067,2063580.51974362
"311001005508","San Cristobal",2,-74.0919401897,4.5510846247,4878916.13528813,2060981.99819438
"311001006601","San Cristobal",2,-74.0937284399,4.5499406471,4878717.62307088,2060855.87419375
"311001006610","San Cristobal",3,-74.0883091499,4.5796827788,4879323.60381358,2064141.84829876
"311001009341","San Cristobal",NA,-74.0892585802,4.5819393747,4879218.69298775,2064391.39067286
"311001011877","San Cristobal",2,-74.0877931998,4.5657342226,4879378.48790928,2062600.26942395
"311001017522","San Cristobal",NA,-74.0861347697,4.5777483658,4879564.4136314,2063927.70585584
"311001020191","San Cristobal",2,-74.0927679998,4.551361928,4878824.37579674,2061012.78264585
"311001024901","San Cristobal",2,-74.0802669904,4.5806997159,4880215.62767524,2064252.88469832
"311001029474","San Cristobal",3,-74.0856613404,4.581664406,4879617.57071505,2064360.39825138
"311001029920","San Cristobal",2,-74.0867542003,4.5330541917,4879488.27847308,2058988.54154536
"311001033391","San Cristobal",2,-74.08484758,4.5318939472,4879699.53958146,2058860.00336036
"311001034117","San Cristobal",2,-74.0946175097,4.5505183883,4878619.11993093,2060919.87140466
"311001038732","San Cristobal",3,-74.0905960199,4.5719493622,4879068.69746837,2063287.59205228
"311001038783","San Cristobal",2,-74.0862440299,4.532704521,4879544.80082082,2058949.81375546
"311001039569","San Cristobal",2,-74.0920769204,4.5604047349,4878902.53110159,2062012.01233077
"311001039836","San Cristobal",3,-74.0895310096,4.5661389582,4879185.83302049,2062645.28937863
"311001040168","San Cristobal",2,-74.0886987196,4.5644025867,4879277.84345233,2062453.25862464
